16:48:29.138297 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.50318: Flags [P.], seq 1719968:1720188, ack 1045, win 309, options [nop,nop,TS val 2519125205 ecr 440440712], length 220
16:48:29.138492 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.50318: Flags [P.], seq 1720188:1720408, ack 1045, win 309, options [nop,nop,TS val 2519125205 ecr 440440712], length 220
16:48:29.138691 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.50318: Flags [P.], seq 1720408:1720628, ack 1045, win 309, options [nop,nop,TS val 2519125205 ecr 440440712], length 220
16:48:29.138921 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.50318: Flags [P.], seq 1720628:1720848, ack 1045, win 309, options [nop,nop,TS val 2519125206 ecr 440440712], length 220
16:48:29.139042 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.50318: Flags [P.], seq 1720848:1721068, ack 1045, win 309, options [nop,nop,TS val 2519125206 ecr 440440712], length 220
16:48:29.139151 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.50318: Flags [P.], seq 1721068:1721288, ack 1045, win 309, options [nop,nop,TS val 2519125206 ecr 440440712], length 220
16:48:29.139300 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.50318: Flags [P.], seq 1721288:1721508, ack 1045, win 309, options [nop,nop,TS val 2519125206 ecr 440440712], length 220
16:48:29.139484 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.50318: Flags [P.], seq 1721508:1721728, ack 1045, win 309, options [nop,nop,TS val 2519125206 ecr 440440712], length 220
16:48:29.139659 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.50318: Flags [P.], seq 1721728:1721948, ack 1045, win 309, options [nop,nop,TS val 2519125206 ecr 440440712], length 220
16:48:29.139774 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.50318: Flags [P.], seq 1721948:1722168, ack 1045, win 309, options [nop,nop,TS val 2519125206 ecr 440440712], length 220
16:48:29.139885 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.50318: Flags [P.], seq 1722168:1722388, ack 1045, win 309, options [nop,nop,TS val 2519125206 ecr 440440712], length 220
16:48:29.139990 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.50318: Flags [P.], seq 1722388:1722608, ack 1045, win 309, options [nop,nop,TS val 2519125207 ecr 440440712], length 220
16:48:29.140095 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.50318: Flags [P.], seq 1722608:1722828, ack 1045, win 309, options [nop,nop,TS val 2519125207 ecr 440440712], length 220
16:48:29.140204 IP lamp-s-1vcpu-1gb-tor1-01.ssh > 198.96.85.21.50318: Flags [P.], seq 1722828:1723048, ack 1045, win 309, options [nop,nop,TS val 2519125207 ecr 440440712], length 220
